"Name"," Salary and Other Compensation ", Travel
"AREND,ELENORE C.G."," 229,841 "," 16,590 "
"ARMITAGE,WHALEY MARK ANDREW"," 229,806 ", -   
"BASKERVILLE, SHANNON L"," 316,479 "," 28,191 "
"BOND, ALLISON HAYWARD"," 337,517 "," 22,911 "
"BROUWER, SHAUNA JANICE M"," 290,335 "," 6,231 "
"BROWN, STEPHEN R"," 325,856 "," 1,836 "
"BROWNSEY, SILAS O"," 273,647 "," 31,716 "
"CARMICHAEL, BARBARA ANN"," 311,645 "," 20,228 "
"CAUL, DOUGLAS D"," 296,562 "," 23,263 "
"COLLINS, TERI M"," 298,596 "," 19,863 "
"DAVISON, JOHN C"," 258,953 ",
"DELLA MATTIA, MARIE"," 245,690 "," 6,791 "
"DOBMEIER, TERESA "," 250,522 ", -   
"DUBE, JONATHAN "," 229,320 ", -   
"GALBRAITH, DAVID L"," 309,250 "," 10,324 "
"GODFREY, DEBBIE"," 288,492 "," 3,908 "
"HALLS, LORI D"," 321,599 "," 30,376 "
"HUGHES, TREVOR"," 298,300 "," 25,313 "
"JARDINE, KEVIN D"," 300,274 "," 38,936 "
"KRISHNA, KATHRYN AURA MATHENY"," 314,303 "," 15,799 "
"LEVITT, DANIEL AARON "," 4,312 ", -   
"MACDONALD, RONALD JOSEPH"," 250,140 "," 8,855 "
"MACKENZIE, ISOBEL"," 245,836 "," 26,711 "
"MALOUGHNEY, MARYSUE "," 239,403 ", -   
"MANWARING, RICHARD"," 289,841 "," 29,017 "
"MARANDA, PIERRETTE"," 74,303 ", -   
"MASSEY, CHRISTINE"," 276,955 "," 5,173 "
"MAY, CHERYL"," 78,141 ", -   
"MAYHEW, NEILANE"," 277,848 "," 23,117 "
"MCCARTHY, THOMAS S"," 276,863 "," 34,231 "
"MIHLAR, FAZIL"," 328,876 "," 35,121 "
"O'DONOGHUE,  EAMON"," 233,579 ",
"PLECAS, BOBBI-LYNN"," 303,912 "," 39,308 "
"POKORNY, PETER"," 265,597 "," 22,168 "
"RICHARDS, TARA C"," 305,053 "," 5,680 "
"RICHTER, KEVIN J"," 229,425 "," 62,142 "
"RITCHIE,CAROL J"," 229,313 "," 3,370 "
"RUTKOWSKI, JAMES"," 35,699 ", -   
"SADLER, BOBBI M"," 140,313 ", -   
"SALTER, SHANNON"," 357,155 "," 48,774 "
"SANFORD, DONNA"," 241,033 ",
"SCOTT, DOUGLAS S"," 301,604 "," 31,066 "
"SIEBEN, MARK K"," 64,793 "," 1,314 "
"STEWART, MALANIE"," 217,951 ", -   
"WOOD, HEATHER"," 325,748 "," 12,847 "
"WOOD, JESSICA DAWN"," 262,932 "," 27,149 "
"YUMA MORISHO, OKENGE"," 308,440 "," 13,394 "
"ZACHARUK, CHRISTINA A B"," 316,711 "," 31,187 "
Grand Total," 12,208,763 "," 762,900 "
