"Name"," Salary and Other Compensation ", Travel
"ALLAN, JOHN"," 315,459 "," 9,128 "
"AREND, ELENORE C G"," 192,095 ", 560 
"BASKERVILLE, SHANNON L"," 272,302 ",
"BOND, ALLISON HAYWARD"," 266,883 ",
"BROUWER, SHAUNA JANICE M"," 241,235 ",
"BROWN, STEPHEN R"," 296,103 ",
"BROWNSEY, SILAS O"," 213,695 ", 209 
"CAUL, DOUGLAS D"," 258,217 "," 1,933 "
"DAVISON, JOHN C"," 178,506 ", 19 
"ETHIER, TOM"," 213,510 "," 2,319 "
"EVANS, DONNA MARIE"," 236,007 ", 340 
"FUREY, MIKE"," 52,857 ",
"FYFE, RICHARD J"," 315,733 ",
"GALBRAITH, DAVID L"," 260,462 ",
"HALLS, LORI D"," 287,997 "," 3,604 "
"HARVEY, JAMES"," 252,281 ",
"HUGHES, TREVOR"," 258,817 "," 14,997 "
"JARDINE, KEVIN D"," 241,775 "," 1,023 "
"KENNEDY, CHRISTINE VALERIE"," 239,133 "," 23,699 "
"KOT, JILL"," 251,137 ", 667 
"KRISHNA, KATHRYN AURA MATHENY"," 248,482 ",
"MACDONALD, DOUGLAS SCOTT"," 271,577 "," 2,969 "
"MACDONALD, RONALD JOSEPH"," 229,213 ", 584 
"MACKENZIE, ISOBEL"," 231,800 ", 17 
"MAIN, GRANT M"," 277,983 ",
"MANWARING, RICHARD"," 220,854 "," 5,937 "
"MARANDA, PIERRETTE"," 209,802 "," 1,752 "
"MASSEY, CHRISTINE"," 193,444 ", 113 
"MAYHEW, NEILANE"," 232,864 "," 1,562 "
"MIHLAR, FAZIL"," 278,050 "," 7,808 "
"NIKOLEJSIN, DAVID J"," 149,814 ", 430 
"PLECAS, BOBBI-LYNN"," 252,700 ", 30 
"POKORNY, PETER"," 207,868 ", 46 
"RICHARDS, TARA C"," 218,221 ", 333 
"RICHTER, KEVIN J"," 211,916 "," 22,313 "
"RITCHIE, CAROL J"," 202,980 ", 399 
"RUTH, GORDON"," 117,972 ", 600 
"SADLER, BOBBI M"," 196,751 "," 1,104 "
"SANFORD, DONNA"," 119,271 ",
"SCOTT, DOUGLAS S"," 221,592 ", 812 
"SHOEMAKER, WESLEY HOWARD"," 212,332 "," 4,959 "
"SIEBEN, MARK K"," 269,191 ", 417 
"WANAMAKER, LORI M"," 299,604 ", 209 
"WOOD, HEATHER"," 234,122 ", 495 
"WRIGHT, DONALD JAMES"," 308,939 "," 1,353 "
"YUMA MORISHO, OKENGE"," 246,748 ",
"ZACHARUK, CHRISTINA A B"," 231,747 ", 8 
